recall,precision,method
0.9937333333333334,0.28680828138228276,FedTROS-PR
0.9936,0.2868415481437287,FedTROS-PR
0.9936,0.28689676413405457,FedTROS-PR
0.9936,0.2869022869022869,FedTROS-PR
0.9935333333333334,0.28691065206091293,FedTROS-PR
0.9935333333333334,0.2869548474054106,FedTROS-PR
0.9934666666666667,0.2870019066694914,FedTROS-PR
0.9933333333333333,0.2870407829085515,FedTROS-PR
0.9932666666666666,0.28711554767594233,FedTROS-PR
0.9932,0.2871350101185314,FedTROS-PR
0.9932,0.2871460786770233,FedTROS-PR
0.9932,0.2871516132762808,FedTROS-PR
0.9931333333333333,0.2872596849148653,FedTROS-PR
0.993,0.2873097621665413,FedTROS-PR
0.9928666666666667,0.28732660660197173,FedTROS-PR
0.9928666666666667,0.2874042339682356,FedTROS-PR
0.9928666666666667,0.2875263046122362,FedTROS-PR
0.9928666666666667,0.28754295864385837,FedTROS-PR
0.9928666666666667,0.2875984860188475,FedTROS-PR
0.9928,0.28760694490044225,FedTROS-PR
0.9928,0.28763472012979485,FedTROS-PR
0.9928,0.28766805748725083,FedTROS-PR
0.9926666666666667,0.2876405362593208,FedTROS-PR
0.9926666666666667,0.2876516497952245,FedTROS-PR
0.9926666666666667,0.28776839379239705,FedTROS-PR
0.9926666666666667,0.28779620395067457,FedTROS-PR
0.9924,0.2879136607160126,FedTROS-PR
0.9924,0.2879192294301961,FedTROS-PR
0.9924,0.2879303675048356,FedTROS-PR
0.9924,0.28793593686531654,FedTROS-PR
0.9924,0.2880195031344323,FedTROS-PR
0.9924,0.28808081589998646,FedTROS-PR
0.9924,0.28809196648023067,FedTROS-PR
0.9924,0.2881365774345276,FedTROS-PR
0.9923333333333333,0.28818415906758826,FedTROS-PR
0.9923333333333333,0.28819531839919454,FedTROS-PR
0.9923333333333333,0.28822322050964294,FedTROS-PR
0.9922666666666666,0.28822059991092347,FedTROS-PR
0.9920666666666667,0.28828532129642187,FedTROS-PR
0.992,0.2883273911021547,FedTROS-PR
0.992,0.2884783156588666,FedTROS-PR
0.992,0.2885006882912926,FedTROS-PR
0.9918666666666667,0.28859620196690783,FedTROS-PR
0.9918666666666667,0.28860739849857425,FedTROS-PR
0.9918666666666667,0.28865219331432007,FedTROS-PR
0.9918666666666667,0.28875303250849105,FedTROS-PR
0.9916666666666667,0.2890145333022461,FedTROS-PR
0.9914666666666667,0.2889955500281767,FedTROS-PR
0.9914666666666667,0.2890685740942311,FedTROS-PR
0.9914666666666667,0.2890741928586701,FedTROS-PR
0.9914,0.2890997103365151,FedTROS-PR
0.9914,0.28912219305920095,FedTROS-PR
0.9913333333333333,0.28916459240821407,FedTROS-PR
0.9912666666666666,0.28915639220567074,FedTROS-PR
0.9912,0.2891988095932777,FedTROS-PR
0.9912,0.28921568627450983,FedTROS-PR
0.9912,0.2892832127013775,FedTROS-PR
0.9912,0.2893789291344713,FedTROS-PR
0.9910666666666667,0.28942449964956,FedTROS-PR
0.9910666666666667,0.28947522149741994,FedTROS-PR
0.9910666666666667,0.28951468411622655,FedTROS-PR
0.991,0.2896305821837737,FedTROS-PR
0.991,0.2896700898337783,FedTROS-PR
0.991,0.2896870249834353,FedTROS-PR
0.991,0.289703962113387,FedTROS-PR
0.9909333333333333,0.2898143815317423,FedTROS-PR
0.9908666666666667,0.28983444160605293,FedTROS-PR
0.9908,0.2898262446615574,FedTROS-PR
0.9908,0.28983754899857633,FedTROS-PR
0.9907333333333334,0.28982935153583617,FedTROS-PR
0.9907333333333334,0.2898519630980476,FedTROS-PR
0.9907333333333334,0.28991416309012874,FedTROS-PR
0.9907333333333334,0.2899933653358311,FedTROS-PR
0.9906666666666667,0.2900021467184481,FedTROS-PR
0.9906,0.29003357276702063,FedTROS-PR
0.9905333333333334,0.2900423604739688,FedTROS-PR
0.9904,0.29008826056393033,FedTROS-PR
0.9904,0.29011092016872364,FedTROS-PR
0.9902,0.2901599953114927,FedTROS-PR
0.99,0.2905100064557779,FedTROS-PR
0.9899333333333333,0.2905359134399029,FedTROS-PR
0.9899333333333333,0.2905813976243126,FedTROS-PR
0.9899333333333333,0.2905984578652785,FedTROS-PR
0.9899333333333333,0.2906098324722092,FedTROS-PR
0.9899333333333333,0.2906268960522968,FedTROS-PR
0.9895333333333334,0.2906516801127908,FedTROS-PR
0.9895333333333334,0.2906630634864685,FedTROS-PR
0.9892666666666666,0.2906530340423865,FedTROS-PR
0.9890666666666666,0.2907138518213705,FedTROS-PR
0.989,0.29073413553874494,FedTROS-PR
0.989,0.29073983341499265,FedTROS-PR
0.9888666666666667,0.2908773581205632,FedTROS-PR
0.9888,0.2909775763639574,FedTROS-PR
0.9888,0.2910175411058353,FedTROS-PR
0.9888,0.2910403830304933,FedTROS-PR
0.9888,0.2910518053375196,FedTROS-PR
0.9888,0.29111464405582055,FedTROS-PR
0.9887333333333334,0.29114644680015705,FedTROS-PR
0.9887333333333334,0.2911807437075431,FedTROS-PR
0.9887333333333334,0.2912722416434267,FedTROS-PR
0.9884666666666667,0.29150856221614924,FedTROS-PR
0.9884666666666667,0.2916117612351264,FedTROS-PR
0.9883333333333333,0.2917790155287449,FedTROS-PR
0.9882666666666666,0.29182251269735027,FedTROS-PR
0.9882666666666666,0.2918512393440041,FedTROS-PR
0.9882,0.29186028195636765,FedTROS-PR
0.9882,0.29187177568621275,FedTROS-PR
0.9881333333333333,0.2918808215671216,FedTROS-PR
0.9880666666666666,0.29188412076333775,FedTROS-PR
0.9880666666666666,0.2920221464741001,FedTROS-PR
0.988,0.2920369677025243,FedTROS-PR
0.988,0.2920484776825303,FedTROS-PR
