fpr,tpr,method
0.13207692307692306,0.5086666666666667,FedTROS-PR
0.13297435897435897,0.5086666666666667,FedTROS-PR
0.13323076923076924,0.5088,FedTROS-PR
0.13364102564102565,0.5096666666666667,FedTROS-PR
0.13366666666666666,0.5097333333333334,FedTROS-PR
0.1337948717948718,0.5106,FedTROS-PR
0.13382051282051283,0.5106,FedTROS-PR
0.13389743589743588,0.5107333333333334,FedTROS-PR
0.13441025641025642,0.5116666666666667,FedTROS-PR
0.13464102564102565,0.5126,FedTROS-PR
0.1347948717948718,0.5127333333333334,FedTROS-PR
0.13551282051282051,0.5138,FedTROS-PR
0.1357179487179487,0.5147333333333334,FedTROS-PR
0.13584615384615384,0.5151333333333333,FedTROS-PR
0.13584615384615384,0.5152,FedTROS-PR
0.13587179487179488,0.5154666666666666,FedTROS-PR
0.13592307692307692,0.5154666666666666,FedTROS-PR
0.13664102564102565,0.5160666666666667,FedTROS-PR
0.13674358974358974,0.5164666666666666,FedTROS-PR
0.13702564102564102,0.5174,FedTROS-PR
0.1373076923076923,0.5178666666666667,FedTROS-PR
0.1381025641025641,0.5200666666666667,FedTROS-PR
0.13815384615384615,0.5206666666666667,FedTROS-PR
0.13841025641025642,0.5208,FedTROS-PR
0.13866666666666666,0.5212,FedTROS-PR
0.13892307692307693,0.5214,FedTROS-PR
0.13938461538461538,0.5214,FedTROS-PR
0.13946153846153847,0.5218,FedTROS-PR
0.1396923076923077,0.5225333333333333,FedTROS-PR
0.13974358974358975,0.5228666666666667,FedTROS-PR
0.13982051282051283,0.5230666666666667,FedTROS-PR
0.14012820512820512,0.5242,FedTROS-PR
0.1406923076923077,0.5245333333333333,FedTROS-PR
0.1412051282051282,0.5245333333333333,FedTROS-PR
0.14133333333333334,0.5248666666666667,FedTROS-PR
0.14174358974358975,0.5248666666666667,FedTROS-PR
0.14184615384615384,0.5252,FedTROS-PR
0.1424102564102564,0.5266,FedTROS-PR
0.14246153846153847,0.5266,FedTROS-PR
0.14256410256410257,0.5268,FedTROS-PR
0.14258974358974358,0.5268666666666667,FedTROS-PR
0.14261538461538462,0.5268666666666667,FedTROS-PR
0.14312820512820512,0.5286,FedTROS-PR
0.14346153846153847,0.5300666666666667,FedTROS-PR
0.14364102564102565,0.5306,FedTROS-PR
0.14387179487179488,0.531,FedTROS-PR
